Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, EN",SW_SPST_B3U-1000P-B,2,B3U-1000P-B,
"C1, C10, C12",0603,3,1uF,
"C11, C13, C14, C6, C7, C8",0402,6,100nF,
C2,0603,1,2u2F,
"C3, C4",0402,2,1nF,
C9,0603,1,10uF,
D1,D_SMA,1,SS110,
D3,Diodes_DFN1006-3,1,"BAT54CM,315",
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"Q1, Q2",SOT-23,2,SS8050,
"R1, R2",0402,2,5k1,
R11,0603,1,1R,
R12,0402,1,500R,
R13,0402,1,100k,
"R3, R4",0402,2,12k,
"R5, R6, R7",0402,3,10K,
"R8, R9",0402,2,470R,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,ESP32-WROOM-32E,1,ESP32-WROOM-32E-N8,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV76733DRVR,
U3,PinHeader_1x06_P2.54mm_Vertical,1,LOG Interface,
U5,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,1,CH340K,
U6,SOT-666,1,USBLC6-2P6,
U7,DRB8_2P4X1P65,1,TPS2115ADRBT,
